id,name,typ,geschlecht,partei,regierung,power,bundesland
GH,Gabriela Heinrich,1,1,SPD,1,2,9
RL,Rüdiger Lucassen,1,2,AFD,2,2,5
UTH,Udo Theodor Hemmelgarn,1,1,AFD,2,2,5
MGB,Michael Grosse-Brömer,1,1,CDU,1,2,9
MR,Manuela Rottmann,1,2,GRUENE,2,2,9
DD,Diether Dehm,1,1,LINKE,2,2,3
MG,Manfred Grund,1,1,CDU,1,2,16
RLE,Ralph Lenkert,1,1,LINKE,2,2,16
SB,Stephan Brandner,1,1,AFD,2,2,16
DW,Dirk Wiese,1,1,SPD,1,2,5
JML,Jan-Marco Luczak,1,1,CDU,1,2,11
GK,Gunther Krichbaum,1,1,CDU,1,2,8
AK,Alexander Krauß,1,1,CDU,1,2,14
HB,Heike Baehrens,1,2,SPD,1,2,8
DA,Doris Achelwilm,1,2,LINKE,2,2,4
KV,Kathrin Vogler,1,2,LINKE,2,2,5
AU,Andrew Ullmann,1,1,FDP,2,2,9
PS,Petra Sitte,1,2,LINKE,2,2,15
JS,Jens Spahn,1,1,CDU,1,2,5
CAD,Christine Aschenberg-Dugnus,1,2,FDP,2,2,1
MS,Martin Sichert,1,1,AFD,2,2,9
SL,Steffi Lemke,1,2,GRUENE,2,2,15
DSB,Detlev Spangenberg,1,1,AFD,2,2,14
AMA,Amira Mohamed Ali,1,2,LINKE,2,2,3
SF,Susanne Ferschl,1,2,LINKE,2,2,9
TL,Thomas Lutze,1,1,LINKE,2,2,10
ST,Stephan Thomae,1,1,FDP,2,2,9
JD,Janosch Dahmen,1,1,GRUENE,2,2,5
RH,Rudolf Henke,1,1,CDU,1,2,5
GKA,Gabriele Katzmarek,1,2,SPD,1,2,8
SD,Sabine Dittmar,1,2,SPD,1,2,9
TS,Thomas Sattelberger,1,1,FDP,2,2,9
FG,Franziska Gminder,1,2,AFD,2,2,8
RR,Rene Röspel,1,1,SPD,1,2,5
TF,Thorsten Frei,1,1,CDU,1,2,8
MSF,Martina Stamm-Fibich,1,2,SPD,1,2,9
TH,Thomas Hitschler,1,1,SPD,1,2,7
OF,Otto Fricke,1,1,FDP,2,2,5
OK,Oliver Krischer,1,1,GRUENE,2,2,5
SBR,Sebastian Brehm,1,1,CDU,1,2,9
LK,Lukas Köhler,1,1,FDP,2,2,9
SH,Sebastian Hartmann,1,1,SPD,1,2,5
MH,Mechthild Heil,1,2,CDU,1,2,7
JW,Joe Weingarten,1,1,SPD,1,2,7
MSC,Marianne Schieder,1,2,SPD,1,2,9
DS,Detlef Seif,1,1,CDU,1,2,5
MRE,Martin Reichard,1,1,AFD,2,2,15
WSB,Wieland Schinnenburg,1,1,FDP,2,2,2
HW,Harald Weyel,1,1,AFD,2,2,5
GF,Götz Frömming,1,1,AFD,2,2,11
AM,Angela Merkel,1,2,CDU,1,1,13
CP,Christian Petry,1,1,SPD,1,2,10
AH,Anton Hofreiter,1,1,GRUENE,2,2,9
